forma,tipo,sub_tipo
natural,Infestacion,Anquilostomiasis y necatoriasis
natural,Infestacion,Ascariasis
natural,Infestacion,Estrongiloidiasis
natural,Infestacion,Tricuriasis
natural,Infestacion,Enterobiasis
natural,Infestacion,Otras helmintiasis intestinales no clasificadas en otra parte
natural,Infestacion,Parasitosis intestinal sin otra especificación
natural,Infestacion,Otros helmintiasis
natural,Infestacion,Pediculosis y phthiriasis
natural,Infestacion,Escabiosis
natural,Infestacion,Miasis
natural,Infestacion,Otras infestaciones
natural,Infestacion,Enfermedad parasitaria no especificada
natural,Secuelas,Secuelas de tuberculosis
natural,Secuelas,Secuelas de poliomielitis
natural,Secuelas,Secuelas de lepra
natural,Secuelas,Secuelas de otras enfermedades infecciosas y parasitarias de los no especificadas
natural,Secuelas,Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos
natural,Secuelas,Otros agentes bacterianos especificados como causa de enfermedades clasificadas en otros capítulos
natural,Secuelas,Agentes virales como causa de enfermedades clasificadas en otros capítulos
natural,Secuelas,Otros agentes infecciosos especificados como causa de enfermedades clasificadas en otros capítulos
natural,Secuelas,Otras enfermedades infecciosas y las no especificadas
natural,Anemias,Anemias por deficiencia de hierro
natural,Anemias,Anemia por deficiencia de vitamina B12
natural,Anemias,Anemia por deficiencia de folatos
natural,Anemias,Otras anemias nutricionales
natural,Anemias,Anemia debida a trastornos enzimáticos
natural,Anemias,Talasemia
natural,Anemias,Trastornos falciformes
natural,Anemias,Otras anemias hemolíticas hereditarias
natural,Anemias,Anemia hemolítica adquirida
natural,Anemias,Aplasia adquirida exclusiva de la serie roja [eritroblastopenia]
natural,Anemias,Otras anemias aplásticas
natural,Anemias,Anemia posthemorrágica aguda
natural,Anemias,Anemia en enfermedades crónicas clasificadas en otra parte
natural,Anemias,Otras anemias
natural,Tumor o Cancer,Tumor maligno del labio
natural,Tumor o Cancer,Tumor maligno de la base de la lengua
natural,Tumor o Cancer,Tumor maligno de otras partes y de las no especificadas de la lengua
natural,Tumor o Cancer,Tumor maligno de la encía
natural,Tumor o Cancer,Tumor maligno del piso de la boca
natural,Tumor o Cancer,Tumor maligno del paladar
natural,Tumor o Cancer,Tumor maligno de otras partes y de las no especificadas de la boca
natural,Tumor o Cancer,Tumor maligno de la glándula parótida
natural,Tumor o Cancer,Tumor maligno de otras glándulas salivales mayores y de las no especificadas
natural,Tumor o Cancer,Tumor maligno de la amígdala
natural,Tumor o Cancer,Tumor maligno de la orofaringe
natural,Tumor o Cancer,Tumor maligno de la nasofaringe
natural,Tumor o Cancer,Tumor maligno del seno piriforme
natural,Tumor o Cancer,Tumor maligno de la hipofaringe
natural,Tumor o Cancer,Tumor maligno de otros sitios y de los mal definidos del labio de la cavidad bucal y de la faringe
natural,Tumor o Cancer,Tumor maligno del esófago
natural,Tumor o Cancer,Tumor maligno del estómago
natural,Tumor o Cancer,Tumor maligno del intestino delgado
natural,Tumor o Cancer,Tumor maligno del colon
natural,Tumor o Cancer,Tumor maligno de la unión rectosigmoidea
natural,Tumor o Cancer,Tumor maligno del recto
natural,Tumor o Cancer,Tumor maligno del ano y del conducto anal
natural,Tumor o Cancer,Tumor maligno del hígado y de las vías biliares intrahepáticas
natural,Tumor o Cancer,Tumor maligno de la vesícula biliar
natural,Tumor o Cancer,Tumor maligno de otras partes y de las no especificadas de las vías biliares
natural,Tumor o Cancer,Tumor maligno del páncreas
natural,Tumor o Cancer,Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos
natural,Tumor o Cancer,Tumor maligno de las fosas nasales y del oído medio
natural,Tumor o Cancer,Tumor maligno de los senos paranasales
natural,Tumor o Cancer,Tumor maligno de la laringe
natural,Tumor o Cancer,Tumor maligno de la tráquea
natural,Tumor o Cancer,Tumor maligno de los bronquios y del pulmón
natural,Tumor o Cancer,Tumor maligno del timo
natural,Tumor o Cancer,Tumor maligno del corazón del mediastino y de la pleura
natural,Tumor o Cancer,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos
natural,Tumor o Cancer,Tumor maligno de los huesos y de los cartílagos articulares de los miembros
natural,Tumor o Cancer,Tumor maligno de los huesos y de los cartílagos articulares de otros sitios y de sitios no especificados
natural,Tumor o Cancer,Melanoma maligno de la piel
natural,Tumor o Cancer,Otros tumores malignos de la piel
natural,Tumor o Cancer,Mesotelioma
natural,Tumor o Cancer,Sarcoma de Kaposi
natural,Tumor o Cancer,Tumor maligno de los nervios periféricos y del sistema nervioso autónomo
natural,Tumor o Cancer,Tumor maligno del peritoneo y del retroperitoneo
natural,Tumor o Cancer,Tumor maligno de otros tejidos conjuntivos y de tejidos blandos
natural,Tumor o Cancer,Tumor maligno de la mama
natural,Tumor o Cancer,Tumor maligno de la vulva
natural,Tumor o Cancer,Tumor maligno de la vagina
natural,Tumor o Cancer,Tumor maligno del cuello del útero
natural,Tumor o Cancer,Tumor maligno del cuerpo del útero
natural,Tumor o Cancer,Tumor maligno del útero parte no especificada
natural,Tumor o Cancer,Tumor maligno del ovario
natural,Tumor o Cancer,Tumor maligno de otros órganos genitales femeninos y de los no especificados
natural,Tumor o Cancer,Tumor maligno de la placenta
natural,Tumor o Cancer,Tumor maligno del pene
natural,Tumor o Cancer,Tumor maligno de la próstata
natural,Tumor o Cancer,Tumor maligno del testículo
natural,Tumor o Cancer,Tumor maligno de otros órganos genitales maculinos y de los no especificados
natural,Tumor o Cancer,Tumor maligno del riñón excepto de la pelvis renal
natural,Tumor o Cancer,Tumor maligno de la pelvis renal
natural,Tumor o Cancer,Tumor maligno del uréter
natural,Tumor o Cancer,Tumor maligno de la vejiga urinaria
natural,Tumor o Cancer,Tumor maligno de otros óganos urinarios y de los no especificados
natural,Tumor o Cancer,Tumor maligno del ojo y sus anexos
natural,Tumor o Cancer,Tumor maligno de las meninges
natural,Tumor o Cancer,Tumor maligno del encéfalo
natural,Tumor o Cancer,Tumor maligno de la médula espinal de los nervios craneales y de otras partes del sistema nervioso central
natural,Tumor o Cancer,Tumor maligno de la glándula tiroides
natural,Tumor o Cancer,Tumor maligno de la glándula suprarrenal
natural,Tumor o Cancer,Tumor maligno de otras glándulas endocrinas y de estructuras afines
natural,Tumor o Cancer,Tumor maligno de otros sitios y de los sitios mal definidos
natural,Tumor o Cancer,Tumor maligno secundario y el no especificado de los ganglios linfáticos
natural,Tumor o Cancer,Tumor maligno secundario de los órganos respiratorios y digestivos
natural,Tumor o Cancer,Tumor maligno secundario de otros sitios y de sitios no especificados
natural,Tumor o Cancer,Tumor maligno de sitios no especificados
natural,Tumor o Cancer,Linfoma de Hodgkin
natural,Tumor o Cancer,Linfoma folicular
natural,Tumor o Cancer,Linfoma no folicular
natural,Tumor o Cancer,Linfomas de células T/NK maduras
natural,Tumor o Cancer,Linfoma no Hodgkin de otro tipo y el no especificado
natural,Tumor o Cancer,Otros tipos especificados de linfoma de células T/NK
natural,Tumor o Cancer,Otros linfomas de células B [enfermedades inmunoproliferativas malignas]
natural,Tumor o Cancer,Mieloma múltiple y tumores malignos de células plasmáticas
natural,Tumor o Cancer,Leucemia linfoide
natural,Tumor o Cancer,Leucemia mieloide
natural,Tumor o Cancer,Leucemia monocítica
natural,Tumor o Cancer,Otras leucemias de tipo celular especificado
natural,Tumor o Cancer,Leucemia de células de tipo no especificado
natural,Tumor o Cancer,Otros tumores malignos y los no especificados del tejido linfático de los órganos hematopoyéticos y de tejidos afines
natural,Tumor o Cancer,Tumores malignos (primarios) de sitios múltiples independientes
natural,Tumor o Cancer,Carcinoma in situ de la cavidad bucal del esófago y del estómago
natural,Tumor o Cancer,Carcinoma in situ de otros órganos digestivos y de los no especificados
natural,Tumor o Cancer,Carcinoma in situ del sistema respiratorio y del oído medio
natural,Tumor o Cancer,Melanoma in situ
natural,Tumor o Cancer,Carcinoma in situ de la piel
natural,Tumor o Cancer,Carcinoma in situ de la mama
natural,Tumor o Cancer,Carcinoma in situ del cuello del útero
natural,Tumor o Cancer,Carcinoma in situ de otros órganos genitales y de los no especificados
natural,Tumor o Cancer,Carcinoma in situ de otros sitios y de los no especificados
natural,Tumor o Cancer,Tumor benigno de la boca y de la faringe
natural,Tumor o Cancer,Tumor benigno de las glándulas salivales mayores
natural,Tumor o Cancer,Tumor benigno del colon del recto del conducto anal y del ano
natural,Tumor o Cancer,Tumor benigno de otras partes y de las mal definidas del sistema digestivo
natural,Tumor o Cancer,Tumor benigno del oído medio y del sistema respiratorio
natural,Tumor o Cancer,Tumor benigno de otros órganos intratorácicos y de los no especificados
natural,Tumor o Cancer,Tumor benigno del hueso y del cartílago articular
natural,Tumor o Cancer,Tumores benignos lipomatosos
natural,Tumor o Cancer,Hemangioma y linfangioma de cualquier sitio
natural,Tumor o Cancer,Tumores benignos del tejido mesotelial
natural,Tumor o Cancer,Tumor benigno del tejido blando del peritoneo y del retroperitoneo
natural,Tumor o Cancer,Otros tumores benignos del tejido conjuntivo y de los tejidos blandos
natural,Tumor o Cancer,Nevo melanocítico
natural,Tumor o Cancer,Otros tumores benignos de la piel
natural,Tumor o Cancer,Tumor benigno de la mama
natural,Tumor o Cancer,Leiomioma del útero
natural,Tumor o Cancer,Otros tumores benignos del útero
natural,Tumor o Cancer,Tumor benigno del ovario
natural,Tumor o Cancer,Tumor benigno de otros órganos genitales femeninos y de los no especificados
natural,Tumor o Cancer,Tumor benigno de los órganos genitales masculinos
natural,Tumor o Cancer,Tumor benigno de los órganos urinarios
natural,Tumor o Cancer,Tumor benigno del ojo y sus anexos
natural,Tumor o Cancer,Tumores benignos de las meninges
natural,Tumor o Cancer,Tumor benigno del encéfalo y de otras partes del sistema nervioso central
natural,Tumor o Cancer,Tumor benigno de la glándula tiroides
natural,Tumor o Cancer,Tumor benigno de otras glándulas endocrinas y de las no especificadas
natural,Tumor o Cancer,Tumor benigno de otros sitios y de los no especificados
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratorácicos
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de los órganos genitales masculinos
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de los órganos urinarios
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de las meninges
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de las glándulas endocrinas
natural,Tumor o Cancer,Policitemia vera
natural,Tumor o Cancer,Síndromes mielodisplásicos
natural,Tumor o Cancer,Otros tumores de comportamiento incierto o desconocido del tejido linfático de los órganos hematopoyéticos y de tejidos afines
natural,Tumor o Cancer,Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados
natural,Deficiencias y Trastornos de la Sangre,Coagulación intravascular diseminada [síndrome de desfibrinación]
natural,Deficiencias y Trastornos de la Sangre,Deficiencia hereditaria del factor VIII
natural,Deficiencias y Trastornos de la Sangre,Deficiencia hereditaria del factor IX
natural,Deficiencias y Trastornos de la Sangre,Otros defectos de la coagulación
natural,Deficiencias y Trastornos de la Sangre,Púrpura y otras afecciones hemorrágicas
natural,Deficiencias y Trastornos de la Sangre,Agranulocitosis
natural,Deficiencias y Trastornos de la Sangre,Trastornos funcionales de los polimorfonucleares neutrófilos
natural,Deficiencias y Trastornos de la Sangre,Otros trastornos de los leucocitos
natural,Deficiencias y Trastornos de la Sangre,Enfermedades del bazo
natural,Deficiencias y Trastornos de la Sangre,Metahemoglobinemia
natural,Deficiencias y Trastornos de la Sangre,Otras enfermedades de la sangre y de los órganos hematopoyéticos
natural,Deficiencias y Trastornos de la Sangre,Otras enfermedades especificadas con participación deL tejido linforreticular y del tejido reticulohistiocítico
natural,Deficiencias y Trastornos de la Sangre,Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte
natural,Inmunodeficiencias,Inmunodeficiencia con predominio de defectos de los anticuerpos
natural,Inmunodeficiencias,Inmunodeficiencias combinadas
natural,Inmunodeficiencias,Inmunodeficiencia asociada con otros defectos mayores
natural,Inmunodeficiencias,Inmunodeficiencia variable común
natural,Inmunodeficiencias,Otras inmunodeficiencias
natural,Inmunodeficiencias,Sarcoidosis
natural,Inmunodeficiencias,Otros trastornos que afectan el mecanismo de la inmunidad no clasificados en otra parte
natural,Trastornos Tiroideos,Síndrome congénito de deficiencia de yodo
natural,Trastornos Tiroideos,Trastornos tiroideos vinculados a deficiencia de yodo y afecciones relacionadas
natural,Trastornos Tiroideos,Hipotiroidismo subclínico por deficiencia de yodo
natural,Trastornos Tiroideos,Otros hipotiroidismos
natural,Trastornos Tiroideos,Otros bocios no tóxicos
natural,Trastornos Tiroideos,Tirotoxicosis [hipertiroidismo]
natural,Trastornos Tiroideos,Tiroiditis
natural,Trastornos Tiroideos,Otros trastornos tiroideos
natural,Diabetes o Enfermedad Pancreatica,Diabetes mellitus insulinodependiente
natural,Diabetes o Enfermedad Pancreatica,Diabetes mellitus no insulinodependiente
natural,Diabetes o Enfermedad Pancreatica,Diabetes mellitus asociada con desnutrición
natural,Diabetes o Enfermedad Pancreatica,Otras diabetes mellitus especificadas
natural,Diabetes o Enfermedad Pancreatica,Diabetes mellitus no especificada
natural,Diabetes o Enfermedad Pancreatica,Coma hipoglicémico no diabético
natural,Diabetes o Enfermedad Pancreatica,Otros trastornos de la secreción interna del páncreas
natural,Enfermedad de la glandula Paratiroides,Hipoparatiroidismo
natural,Enfermedad de la glandula Paratiroides,Hiperparatiroidismo y otros trastornos de la glándula paratiroides
natural,Enfermedad de la glandula Hipofisis,Hiperfunción de la glándula hipófisis
natural,Enfermedad de la glandula Hipofisis,Hipofunción y otros trastornos de la glándula hipófisis
natural,Enfermedad de la glandula Suprarrenal,Síndrome de Cushing
natural,Enfermedad de la glandula Suprarrenal,Trastornos adrenogenitales
natural,Enfermedad de la glandula Suprarrenal,Hiperaldosteronismo
natural,Enfermedad de la glandula Suprarrenal,Otros trastornos  de la glándula suprarrenal
natural,Trastornos de la Pubertad,Disfunción ovárica
natural,Trastornos de la Pubertad,Disfunción testicular
natural,Trastornos de la Pubertad,Trastornos de la pubertad no clasificados en otra parte
natural,Trastornos Endocrinos,Disfunción poliglandular
natural,Trastornos Endocrinos,Enfermedades del timo
natural,Trastornos Endocrinos,Otros trastornos endocrinos
natural,Trastornos Endocrinos,Trastornos endocrinos en enfermedades clasificadas en otra parte
natural,Trastornos Nutricionales o Metabolicos,Kwashiorkor
natural,Trastornos Nutricionales o Metabolicos,Marasmo nutricional
natural,Trastornos Nutricionales o Metabolicos,Kwashiorkor marasmático
natural,Trastornos Nutricionales o Metabolicos,Desnutrición proteicocalórica severa no especificada
natural,Trastornos Nutricionales o Metabolicos,Desnutrición proteicocalórica de grado moderado y leve
natural,Trastornos Nutricionales o Metabolicos,Retardo del desarrollo debido a desnutrición proteicocalórica
natural,Trastornos Nutricionales o Metabolicos,Desnutrición proteicocalórica no especificada
natural,Trastornos Nutricionales o Metabolicos,Deficiencia de vitamina A
natural,Trastornos Nutricionales o Metabolicos,Deficiencia de tiamina
natural,Trastornos Nutricionales o Metabolicos,Deficiencia de niacina [pelagra]
natural,Trastornos Nutricionales o Metabolicos,Deficiencias de otras vitaminas del grupo B
natural,Trastornos Nutricionales o Metabolicos,Deficiencia de ácido ascórbico
natural,Trastornos Nutricionales o Metabolicos,Deficiencia de vitamina D
natural,Trastornos Nutricionales o Metabolicos,Otras deficiencias de vitaminas
natural,Trastornos Nutricionales o Metabolicos,Deficiencia dietética de calcio
natural,Trastornos Nutricionales o Metabolicos,Deficiencia dietética de selenio
natural,Trastornos Nutricionales o Metabolicos,Deficiencia dietética de zinc
natural,Trastornos Nutricionales o Metabolicos,Deficiencias de otros elementos nutricionales
natural,Trastornos Nutricionales o Metabolicos,Otras deficiencias nutricionales
natural,Trastornos Nutricionales o Metabolicos,Secuelas de la desnutrición y de otras deficiencias nutricionales
natural,Trastornos Nutricionales o Metabolicos,Adiposidad localizada
natural,Trastornos Nutricionales o Metabolicos,Obesidad
natural,Trastornos Nutricionales o Metabolicos,Otros tipos de hiperalimentación
natural,Trastornos Nutricionales o Metabolicos,Secuelas de hiperalimentación
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de los aminoácidos aromáticos
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de los aminoácidos de cadena ramificada y de los ácidos grasos
natural,Trastornos Nutricionales o Metabolicos,Otros trastornos del metabolismo de los aminoácidos
natural,Trastornos Nutricionales o Metabolicos,Intolerancia a la lactosa
natural,Trastornos Nutricionales o Metabolicos,Otros trastornos del metabolismo de los carbohidratos
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de los esfingolípidos y otros trastornos por almacenamiento de lípidos
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de los glucosaminoglicanos
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de las glucoproteínas
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de las lipoproteínas y otras lipidemias
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de las purinas y de las pirimidinas
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de las porfirinas y de la bilirrubina
natural,Trastornos Nutricionales o Metabolicos,Trastornos del metabolismo de los minerales
natural,Trastornos Nutricionales o Metabolicos,Fibrosis quística
natural,Trastornos Nutricionales o Metabolicos,Amiloidosis
natural,Trastornos Nutricionales o Metabolicos,Depleción del volumen
natural,Trastornos Nutricionales o Metabolicos,Otros trastornos de los líquidos de los electrólitos y del equilibrio ácido-básico
natural,Trastornos Nutricionales o Metabolicos,Otros trastornos metabólicos
natural,Trastornos Nutricionales o Metabolicos,Trastornos endocrinos y metabólicos consecutivos a procedimientos no clasificados en otra parte
natural,Trastornos Nutricionales o Metabolicos,Trastornos nutricionales y metabólicos en enfermedades clasificadas en otra parte
natural,Trastornos Mentales o Psicologicos,Demencia en la enfermedad de Alzheimer
natural,Trastornos Mentales o Psicologicos,Demencia vascular
natural,Trastornos Mentales o Psicologicos,Demencia en otras enfermedades clasificadas en otra parte
natural,Trastornos Mentales o Psicologicos,Demencia  no especificada
natural,Trastornos Mentales o Psicologicos,Síndrome amnésico orgánico no inducido por alcohol o por otras sustancias psicoactivas
natural,Trastornos Mentales o Psicologicos,Delirio no inducido por alcohol o por otras sustancias psicoactivas
natural,Trastornos Mentales o Psicologicos,Otros trastornos mentales debidos a lesión y disfunción cerebral y a enfermedad física
natural,Trastornos Mentales o Psicologicos,Trastronos de la personalidad y del comportamiento debidos a enfermedad lesión o disfunción cerebral
natural,Trastornos Mentales o Psicologicos,Trastorno mental orgánico o sintomático no especificado
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de alcohol
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de opiáceos
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de cannabinoides
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de sedantes  o hipnóticos
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de cocaína
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de otros estimilantes incluida la cafeína
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de alucinógenos
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de tabaco
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles
natural,Trastornos Mentales o Psicologicos,Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas
natural,Trastornos Mentales o Psicologicos,Esquizofrenia
natural,Trastornos Mentales o Psicologicos,Trastorno esquizotípico
natural,Trastornos Mentales o Psicologicos,Trastornos delirantes persistentes
natural,Trastornos Mentales o Psicologicos,Trastornos psicóticos agudos y transitorios
natural,Trastornos Mentales o Psicologicos,Trastorno delirante inducido
natural,Trastornos Mentales o Psicologicos,Trastornos esquizoafectivos
natural,Trastornos Mentales o Psicologicos,Otros trastornos psicóticos  de origen no orgánico
